track_id,track_name,artist_name,album_name,genre,popularity,duration_ms,explicit,key,mode,loudness,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness
TRK0046,Track 46,Artist 46,Album 46,Rock,41,216059,True,8,1,-5.58,0.5075,0.6,0.5525,104.05,0.1332,0.0095,0.0417,0.2741
TRK0047,Track 47,Artist 47,Album 47,Classical,19,345660,False,9,1,-22.97,0.2603,0.4224,0.2944,157.6,0.8836,0.8792,0.0497,0.1841
TRK0048,Track 48,Artist 48,Album 48,Pop,25,351022,False,9,1,-6.3,0.6866,0.8647,0.7772,132.9,0.0631,0.1119,0.0572,0.1477
TRK0049,Track 49,Artist 49,Album 49,Metal,80,218317,False,11,0,-2.83,0.3122,0.8494,0.1,147.62,0.0042,0.0959,0.1113,0.1
TRK0050,Track 50,Artist 50,Album 50,Electronic,26,321207,False,0,0,-6.8,0.6113,0.8446,0.6221,132.3,0.0975,0.95,0.0743,0.2127
TRK0051,Track 51,Artist 1,Album 51,Jazz,32,155046,False,5,0,-11.03,0.5621,0.6357,0.4643,118.84,0.7677,0.4887,0.03,0.1628
TRK0052,Track 52,Artist 2,Album 52,Ambient,35,298136,False,6,0,-26.39,0.1149,0.2536,0.3677,50.0,0.7751,0.8802,0.0464,0.0777
TRK0053,Track 53,Artist 3,Album 53,Pop,94,221459,False,7,1,-7.32,0.8537,0.7403,0.5966,119.51,0.2537,0.0521,0.0738,0.114
TRK0054,Track 54,Artist 4,Album 54,Classical,16,357697,False,9,1,-13.69,0.2402,0.4008,0.2009,114.83,0.9848,0.8761,0.0363,0.0681
TRK0055,Track 55,Artist 5,Album 55,Electronic,23,320422,True,8,0,-7.46,0.6981,0.9094,0.7094,126.11,0.0842,0.3746,0.0766,0.191
TRK0056,Track 56,Artist 6,Album 56,Pop,88,165893,False,1,0,-7.24,0.7075,0.7534,0.7501,120.05,0.0374,0.0288,0.0867,0.1737
TRK0057,Track 57,Artist 7,Album 57,Classical,16,221520,False,10,1,-19.81,0.5188,0.1,0.2654,102.92,0.888,0.7514,0.0445,0.1348
TRK0058,Track 58,Artist 8,Album 58,Lo-Fi,18,245818,False,9,0,-13.45,0.6765,0.3419,0.2859,77.83,0.7157,0.7663,0.0608,0.1265
TRK0059,Track 59,Artist 9,Album 59,Lo-Fi,57,181272,True,1,1,-11.42,0.6521,0.4315,0.4698,72.57,0.6039,0.8331,0.0878,0.1453
TRK0060,Track 60,Artist 10,Album 60,Acoustic,81,343224,True,4,0,-18.25,0.3797,0.3494,0.6687,119.13,0.8334,0.2129,0.0246,0.1022
TRK0061,Track 61,Artist 11,Album 61,Pop,68,187649,False,4,0,-7.52,0.7576,0.8143,0.6615,109.52,0.198,0.0305,0.0561,0.1536
TRK0062,Track 62,Artist 12,Album 62,Lo-Fi,91,184674,False,5,0,-13.48,0.5247,0.259,0.2876,87.48,0.715,0.7601,0.0718,0.1458
TRK0063,Track 63,Artist 13,Album 63,Classical,48,359614,False,2,0,-19.14,0.3406,0.1131,0.5568,73.88,0.8574,0.8022,0.0247,0.1213
TRK0064,Track 64,Artist 14,Album 64,Acoustic,27,264832,False,7,0,-15.87,0.4811,0.196,0.7277,117.89,0.98,0.0695,0.0692,0.1612
TRK0065,Track 65,Artist 15,Album 65,Classical,68,272999,False,0,0,-21.46,0.4411,0.2892,0.2959,55.0,0.9245,0.744,0.0345,0.079
TRK0066,Track 66,Artist 16,Album 66,Acoustic,26,206475,False,5,0,-12.78,0.5444,0.3511,0.5493,130.78,0.8205,0.1021,0.0692,0.1715
TRK0067,Track 67,Artist 17,Album 67,Pop,23,181367,False,3,1,-7.46,0.6438,0.788,0.6931,132.63,0.1427,0.0,0.1007,0.05
TRK0068,Track 68,Artist 18,Album 68,Electronic,40,349027,False,0,1,-7.66,0.7084,0.7779,0.5151,137.74,0.1492,0.6122,0.0927,0.1069
TRK0069,Track 69,Artist 19,Album 69,Metal,33,263660,False,6,1,-1.3,0.4864,0.949,0.281,120.02,0.0938,0.0,0.0961,0.266
TRK0070,Track 70,Artist 20,Album 70,Synthwave,69,241750,False,8,1,-5.39,0.7106,0.8184,0.5117,123.68,0.1574,0.5094,0.0659,0.1588
TRK0071,Track 71,Artist 21,Album 71,Electronic,54,352750,False,3,1,-3.54,0.7823,0.7831,0.3,129.26,0.1649,0.7993,0.0863,0.1563
TRK0072,Track 72,Artist 22,Album 72,Rock,12,355806,True,3,0,-3.31,0.6124,0.7862,0.6515,120.35,0.1932,0.0201,0.0456,0.2635
TRK0073,Track 73,Artist 23,Album 73,Classical,46,238154,False,5,0,-20.24,0.3634,0.3632,0.1,103.13,0.9273,0.8072,0.0329,0.1778
TRK0074,Track 74,Artist 24,Album 74,Rock,52,303305,True,11,1,-4.52,0.5655,0.8819,0.3998,133.48,0.2556,0.3319,0.0708,0.1857
TRK0075,Track 75,Artist 25,Album 75,Electronic,49,164738,False,2,0,-6.67,0.7971,0.9471,0.4805,125.76,0.033,0.4982,0.0775,0.2005
TRK0076,Track 76,Artist 26,Album 76,Acoustic,64,153397,False,11,1,-19.55,0.5772,0.4612,0.7209,109.26,0.7988,0.0498,0.028,0.18
TRK0077,Track 77,Artist 27,Album 77,Synthwave,48,202189,False,5,1,-7.86,0.7774,0.7105,0.4978,116.48,0.1007,0.8118,0.0863,0.0937
TRK0078,Track 78,Artist 28,Album 78,Synthwave,24,196367,False,6,0,-7.99,0.6669,0.8233,0.5616,131.87,0.2303,0.5577,0.0604,0.1808
TRK0079,Track 79,Artist 29,Album 79,Ambient,13,322332,False,10,0,-25.93,0.2206,0.1578,0.2493,54.97,0.7437,0.9039,0.0803,0.0816
TRK0080,Track 80,Artist 30,Album 80,Synthwave,34,240585,False,9,0,-9.57,0.8161,0.6913,0.3807,109.71,0.1036,0.4903,0.0474,0.1579
TRK0081,Track 81,Artist 31,Album 81,Metal,22,196619,False,9,1,-2.22,0.4088,0.9398,0.3375,149.09,0.0559,0.1537,0.1799,0.3373
TRK0082,Track 82,Artist 32,Album 82,Synthwave,91,231453,False,2,0,-5.55,0.7611,0.654,0.6911,124.56,0.0424,0.6742,0.0555,0.1866
TRK0083,Track 83,Artist 33,Album 83,Electronic,42,139816,False,6,1,-6.19,0.7195,0.9687,0.6261,125.95,0.0804,0.4065,0.0678,0.1849
TRK0084,Track 84,Artist 34,Album 84,Ambient,25,293312,False,2,1,-25.48,0.292,0.1308,0.2859,84.75,0.8652,0.8197,0.0412,0.1503
TRK0085,Track 85,Artist 35,Album 85,Electronic,51,257348,False,1,1,-6.76,0.7811,0.8439,0.8396,138.32,0.1485,0.504,0.0772,0.1884
TRK0086,Track 86,Artist 36,Album 86,Electronic,75,355271,False,11,0,-5.13,0.7191,0.9694,0.5779,140.92,0.1598,0.7112,0.0791,0.09
TRK0087,Track 87,Artist 37,Album 87,Jazz,64,199530,False,9,0,-19.15,0.6917,0.5318,0.5232,149.24,0.6278,0.5071,0.0631,0.1883
TRK0088,Track 88,Artist 38,Album 88,Ambient,51,274571,False,3,1,-27.05,0.2785,0.2648,0.273,96.6,0.9013,0.99,0.035,0.1249
TRK0089,Track 89,Artist 39,Album 89,Electronic,43,339648,True,11,0,-4.07,0.6669,0.7075,0.6954,129.47,0.0713,0.384,0.0562,0.1602
TRK0090,Track 90,Artist 40,Album 90,Jazz,39,228856,False,7,0,-17.12,0.5483,0.4802,0.4436,149.98,0.5278,0.4951,0.0502,0.1771
TRK0091,Track 91,Artist 41,Album 91,Jazz,22,333567,False,8,0,-20.43,0.5636,0.4698,0.3958,121.6,0.5291,0.4324,0.062,0.067
TRK0092,Track 92,Artist 42,Album 92,Ambient,22,191635,True,6,1,-23.97,0.3033,0.2839,0.2533,69.98,0.9304,0.8427,0.0227,0.1212
TRK0093,Track 93,Artist 43,Album 93,Rock,27,227803,False,0,1,-5.7,0.6265,0.6488,0.3399,130.26,0.1834,0.2347,0.0735,0.2099
TRK0094,Track 94,Artist 44,Album 94,Acoustic,41,336184,False,2,0,-9.77,0.6591,0.2397,0.5003,90.22,0.8928,0.0463,0.0649,0.1345
TRK0095,Track 95,Artist 45,Album 95,Metal,48,155946,False,11,1,-4.22,0.3719,0.9412,0.2331,138.67,0.0532,0.0251,0.0633,0.292
TRK0096,Track 96,Artist 46,Album 96,Acoustic,55,175204,False,8,0,-21.99,0.4407,0.2763,0.3522,110.03,0.8856,0.0,0.0783,0.1837
TRK0097,Track 97,Artist 47,Album 97,Synthwave,38,302958,False,11,0,-6.5,0.7669,0.8644,0.5801,105.03,0.2211,0.6711,0.061,0.2088
TRK0098,Track 98,Artist 48,Album 98,Metal,71,322724,False,0,0,-3.73,0.3083,0.9032,0.2316,154.54,0.0258,0.2149,0.0686,0.2408
TRK0099,Track 99,Artist 49,Album 99,Synthwave,71,135563,False,8,0,-4.51,0.5,0.8008,0.5745,110.35,0.292,0.815,0.0281,0.1535
TRK0100,Track 100,Artist 50,Album 100,Electronic,66,212324,False,7,1,-6.04,0.7892,0.8753,0.6674,111.31,0.0888,0.6142,0.0986,0.1767
TRK0101,Track 101,Artist 1,Album 1,Classical,25,343536,True,0,1,-19.23,0.291,0.5035,0.3223,87.55,0.8835,0.9253,0.045,0.1218
TRK0102,Track 102,Artist 2,Album 2,Ambient,65,352944,False,5,1,-28.41,0.194,0.1845,0.2337,75.58,0.9577,0.8461,0.0362,0.0624
TRK0103,Track 103,Artist 3,Album 3,Metal,19,129847,False,4,0,-3.6,0.3813,0.8891,0.6143,138.78,0.0887,0.4742,0.1116,0.3977
TRK0104,Track 104,Artist 4,Album 4,Metal,39,146155,False,5,0,-1.71,0.5513,0.9898,0.4122,161.52,0.0687,0.094,0.1223,0.3252
TRK0105,Track 105,Artist 5,Album 5,Electronic,34,199671,False,9,0,-4.09,0.7296,0.887,0.6411,127.06,0.1214,0.6827,0.0808,0.2321
TRK0106,Track 106,Artist 6,Album 6,Rock,93,236891,False,11,1,-6.81,0.5511,0.9692,0.7165,128.34,0.0526,0.0512,0.0887,0.1622
TRK0107,Track 107,Artist 7,Album 7,Jazz,14,203310,False,4,0,-10.53,0.4742,0.3675,0.6276,111.87,0.4853,0.6047,0.0644,0.126
TRK0108,Track 108,Artist 8,Album 8,Electronic,74,318350,False,5,1,-3.51,0.7505,0.9276,0.7035,135.41,0.0341,0.6647,0.0689,0.0889
TRK0109,Track 109,Artist 9,Album 9,Lo-Fi,58,269381,True,4,1,-10.22,0.5846,0.3251,0.3584,92.01,0.5474,0.8118,0.0809,0.1261
TRK0110,Track 110,Artist 10,Album 10,Jazz,12,251691,False,10,1,-13.8,0.626,0.3361,0.7152,105.8,0.642,0.5501,0.0698,0.1231
TRK0111,Track 111,Artist 11,Album 11,Ambient,54,334266,False,11,1,-20.52,0.1265,0.2932,0.3671,75.62,0.8125,0.9322,0.0359,0.1038
TRK0112,Track 112,Artist 12,Album 12,Jazz,23,301180,False,4,1,-12.08,0.4689,0.4942,0.5474,113.05,0.5895,0.7822,0.048,0.0594
TRK0113,Track 113,Artist 13,Album 13,Rock,39,154707,False,3,1,-2.06,0.3999,0.8754,0.7502,141.34,0.2357,0.352,0.0893,0.2198
TRK0114,Track 114,Artist 14,Album 14,Jazz,77,271409,False,2,0,-12.32,0.7255,0.6623,0.4262,87.92,0.5836,0.7055,0.0632,0.1397
TRK0115,Track 115,Artist 15,Album 15,Ambient,27,201537,False,2,0,-20.43,0.1029,0.2113,0.4118,88.24,0.9053,0.9799,0.0487,0.0804
TRK0116,Track 116,Artist 16,Album 16,Rock,71,317576,False,3,1,-3.44,0.6371,0.8647,0.5259,130.02,0.0479,0.2613,0.0916,0.1213
TRK0117,Track 117,Artist 17,Album 17,Acoustic,46,298686,False,8,1,-13.43,0.5404,0.2478,0.2812,114.72,0.8182,0.332,0.0691,0.1489
TRK0118,Track 118,Artist 18,Album 18,Metal,34,342500,False,1,0,-3.19,0.5331,0.9623,0.425,123.43,0.1419,0.1014,0.1075,0.1342
TRK0119,Track 119,Artist 19,Album 19,Metal,57,211155,False,8,1,-3.5,0.4151,0.9583,0.1,169.48,0.0258,0.2732,0.1573,0.2683
TRK0120,Track 120,Artist 20,Album 20,Synthwave,74,120281,False,0,1,-6.85,0.7439,0.8143,0.5391,116.34,0.1648,0.5925,0.0699,0.1315
TRK0121,Track 121,Artist 21,Album 21,Acoustic,62,278492,False,0,0,-16.98,0.6192,0.338,0.4245,99.28,0.8774,0.1808,0.0367,0.1229
TRK0122,Track 122,Artist 22,Album 22,Acoustic,88,331968,False,4,1,-17.28,0.4295,0.177,0.4177,77.36,0.813,0.0887,0.071,0.0894
TRK0123,Track 123,Artist 23,Album 23,Jazz,82,290102,False,5,1,-19.75,0.5118,0.3804,0.7054,92.23,0.6045,0.6498,0.0776,0.131
TRK0124,Track 124,Artist 24,Album 24,Metal,24,252130,False,5,1,-2.83,0.385,0.9876,0.3923,150.2,0.0181,0.0902,0.1207,0.1502
TRK0125,Track 125,Artist 25,Album 25,Ambient,58,337285,False,2,0,-20.61,0.1653,0.198,0.1114,74.09,0.7551,0.7839,0.0608,0.1492
TRK0126,Track 126,Artist 26,Album 26,Pop,77,196260,False,6,0,-6.15,0.7745,0.7127,0.7767,134.69,0.2137,0.0026,0.065,0.2081
TRK0127,Track 127,Artist 27,Album 27,Pop,21,279476,False,8,0,-6.98,0.5,0.6178,0.6291,132.43,0.1727,0.0922,0.0642,0.0614
TRK0128,Track 128,Artist 28,Album 28,Rock,68,354554,True,10,1,-3.45,0.5545,0.841,0.3617,123.68,0.35,0.0267,0.0832,0.08
TRK0129,Track 129,Artist 29,Album 29,Metal,46,356356,False,11,1,-3.43,0.3108,0.9401,0.1563,151.4,0.0227,0.1713,0.1377,0.2199
TRK0130,Track 130,Artist 30,Album 30,Metal,70,280928,True,9,0,-5.27,0.3809,0.9234,0.4168,137.3,0.0201,0.2042,0.1678,0.2581
TRK0131,Track 131,Artist 31,Album 31,Pop,52,260272,False,7,1,-5.41,0.7521,0.7921,0.7424,108.27,0.1318,0.0229,0.0692,0.1616
TRK0132,Track 132,Artist 32,Album 32,Metal,79,184178,False,5,1,-4.04,0.4375,0.9877,0.4533,141.88,0.0145,0.1714,0.1095,0.308
TRK0133,Track 133,Artist 33,Album 33,Jazz,48,153997,False,11,1,-8.18,0.4844,0.3621,0.4896,132.8,0.8409,0.5691,0.0591,0.0893
TRK0134,Track 134,Artist 34,Album 34,Lo-Fi,65,276683,False,7,1,-9.78,0.5379,0.4854,0.4362,79.01,0.589,0.95,0.0644,0.1106
TRK0135,Track 135,Artist 35,Album 35,Classical,72,239273,False,11,1,-19.0,0.2349,0.3503,0.3585,92.2,0.972,0.8325,0.0245,0.1079
TRK0136,Track 136,Artist 36,Album 36,Acoustic,55,292307,False,4,0,-16.34,0.4107,0.2685,0.3735,129.98,0.811,0.2929,0.0377,0.143
TRK0137,Track 137,Artist 37,Album 37,Synthwave,20,286129,False,7,1,-8.41,0.7403,0.6905,0.6691,119.14,0.1052,0.6801,0.0807,0.1255
TRK0138,Track 138,Artist 38,Album 38,Rock,71,252311,False,9,0,-4.04,0.3995,0.8604,0.5794,142.51,0.033,0.0328,0.0929,0.2199
TRK0139,Track 139,Artist 39,Album 39,Lo-Fi,86,354746,False,11,1,-14.05,0.573,0.2917,0.599,95.38,0.5912,0.6221,0.0578,0.086
TRK0140,Track 140,Artist 40,Album 40,Pop,34,316733,False,3,0,-5.98,0.6199,0.7078,0.5414,106.86,0.2298,0.0478,0.0945,0.074
TRK0141,Track 141,Artist 41,Album 41,Acoustic,80,246945,False,9,1,-13.09,0.7076,0.3128,0.5655,122.69,0.9192,0.1667,0.0613,0.158
TRK0142,Track 142,Artist 42,Album 42,Metal,61,165272,False,7,0,-4.74,0.2883,0.8346,0.117,139.06,0.0678,0.1012,0.157,0.2148
TRK0143,Track 143,Artist 43,Album 43,Synthwave,13,209393,False,9,1,-9.42,0.6131,0.6292,0.6075,135.13,0.1456,0.4779,0.0656,0.055
TRK0144,Track 144,Artist 44,Album 44,Metal,68,181212,False,11,0,-2.79,0.3762,0.9261,0.1987,138.9,0.0715,0.4534,0.1701,0.3837
TRK0145,Track 145,Artist 45,Album 45,Ambient,81,266470,False,1,1,-23.55,0.2283,0.2687,0.3467,87.6,0.8642,0.8544,0.0294,0.0971
TRK0146,Track 146,Artist 46,Album 46,Ambient,29,240030,True,11,0,-24.44,0.1821,0.2339,0.5081,53.84,0.8966,0.8967,0.059,0.0871
TRK0147,Track 147,Artist 47,Album 47,Synthwave,72,176503,True,11,1,-6.14,0.6904,0.7559,0.3975,115.66,0.0508,0.7784,0.02,0.1611
TRK0148,Track 148,Artist 48,Album 48,Synthwave,63,257710,False,4,0,-8.7,0.7147,0.6069,0.5406,129.54,0.1137,0.5706,0.0373,0.1173
TRK0149,Track 149,Artist 49,Album 49,Pop,83,126570,False,8,0,-5.18,0.8187,0.7442,0.6133,104.38,0.2484,0.0685,0.0562,0.0505
TRK0150,Track 150,Artist 50,Album 50,Synthwave,66,188785,False,3,1,-6.89,0.6651,0.8069,0.8149,117.73,0.114,0.5623,0.0438,0.1264
TRK0151,Track 151,Artist 1,Album 51,Jazz,50,129110,False,10,1,-14.65,0.7223,0.5099,0.4798,100.87,0.682,0.4639,0.0636,0.1744
TRK0152,Track 152,Artist 2,Album 52,Metal,12,356971,False,5,0,-4.43,0.337,0.8107,0.5216,153.87,0.0628,0.019,0.1752,0.2174
TRK0153,Track 153,Artist 3,Album 53,Lo-Fi,15,199141,False,0,1,-15.0,0.5645,0.2192,0.6189,97.87,0.6834,0.6821,0.0525,0.0995
TRK0154,Track 154,Artist 4,Album 54,Electronic,14,132115,False,8,0,-2.93,0.7595,0.8607,0.7625,128.11,0.01,0.703,0.0649,0.2285
TRK0155,Track 155,Artist 5,Album 55,Synthwave,14,159062,True,0,0,-6.7,0.7972,0.7351,0.8188,121.51,0.2638,0.6397,0.044,0.131
TRK0156,Track 156,Artist 6,Album 56,Rock,63,142911,False,4,0,-9.8,0.6455,0.8014,0.7247,143.18,0.1329,0.2155,0.0605,0.341
TRK0157,Track 157,Artist 7,Album 57,Ambient,56,224061,False,3,1,-19.96,0.3173,0.0588,0.2774,78.72,0.9706,0.8654,0.0762,0.0646
TRK0158,Track 158,Artist 8,Album 58,Jazz,58,152556,False,11,0,-17.09,0.5026,0.4588,0.4495,140.65,0.7805,0.6665,0.037,0.1142
TRK0159,Track 159,Artist 9,Album 59,Acoustic,18,329203,True,2,0,-18.4,0.28,0.4761,0.4041,101.91,0.9697,0.1024,0.0332,0.121
TRK0160,Track 160,Artist 10,Album 60,Electronic,29,248335,False,5,1,-5.65,0.8041,0.8238,0.549,123.25,0.0936,0.6625,0.0596,0.1421
TRK0161,Track 161,Artist 11,Album 61,Lo-Fi,70,121969,False,1,1,-16.33,0.6354,0.3828,0.3988,95.05,0.7097,0.6996,0.0669,0.1078
TRK0162,Track 162,Artist 12,Album 62,Electronic,44,163753,False,2,1,-5.98,0.8039,0.7786,0.7508,126.07,0.1468,0.5555,0.0714,0.2205
TRK0163,Track 163,Artist 13,Album 63,Synthwave,59,333883,False,4,1,-7.02,0.6327,0.8324,0.6563,112.51,0.02,0.6268,0.0635,0.089
TRK0164,Track 164,Artist 14,Album 64,Pop,91,255542,False,8,0,-4.57,0.6674,0.5761,0.5989,128.08,0.02,0.0601,0.0444,0.1643
TRK0165,Track 165,Artist 15,Album 65,Ambient,71,241863,False,1,0,-22.42,0.2328,0.1864,0.2194,59.82,0.9858,0.8567,0.0814,0.0742
TRK0166,Track 166,Artist 16,Album 66,Ambient,26,130225,False,9,0,-27.44,0.1362,0.2419,0.2674,75.31,0.8988,0.8765,0.0214,0.1228
TRK0167,Track 167,Artist 17,Album 67,Acoustic,12,358932,False,7,0,-16.13,0.5517,0.4473,0.3974,129.28,0.8885,0.0804,0.078,0.0843
TRK0168,Track 168,Artist 18,Album 68,Pop,41,243008,False,1,1,-2.47,0.7035,0.8045,0.8139,132.63,0.2224,0.0388,0.03,0.0874
TRK0169,Track 169,Artist 19,Album 69,Metal,22,358582,False,10,0,-3.0,0.2164,0.8808,0.5217,149.61,0.0778,0.3977,0.1788,0.2707
TRK0170,Track 170,Artist 20,Album 70,Classical,82,359367,False,4,0,-16.33,0.2276,0.4379,0.2906,93.67,0.9537,0.9221,0.0569,0.1849
